yaml_file,MAP,NDCG,Precision,Recall,embed_size,n_layers,batch_size,decay,epochs,learning_rate,eval_epoch,top_k,Train Time
64_5_2048_0_01_1000_0_001_-1_20,0.0083225781429275,0.0463822654523759,0.0407142857142857,0.0199860171621129,64,5,2048,0.01,1000,0.001,-1,20,318.232294458001
64_3_1024_0_01_1000_0_001_-1_20,0.0082139821458642,0.0465000345717105,0.0411038961038961,0.0202127759935984,64,3,1024,0.01,1000,0.001,-1,20,327.8488361670006
64_5_2048_0_01_1000_0_0001_-1_20,0.0081996720449155,0.0459654303108642,0.0401298701298701,0.0198532426251188,64,5,2048,0.01,1000,0.0001,-1,20,318.23703937499886
64_3_2048_0_01_1000_0_001_-1_20,0.0080578261963758,0.045648064339944,0.040064935064935,0.0197280583437573,64,3,2048,0.01,1000,0.001,-1,20,313.79808395800137
64_3_1024_0_01_1000_0_01_-1_20,0.0080399579629273,0.0453411728249558,0.0401298701298701,0.0197509346152332,64,3,1024,0.01,1000,0.01,-1,20,316.6863047499992
64_3_1024_0_01_1000_0_0001_-1_20,0.0080069055605227,0.0455311601002771,0.0408441558441558,0.0201811316940495,64,3,1024,0.01,1000,0.0001,-1,20,318.5209397920007
64_5_1024_0_01_1000_0_0001_-1_20,0.0079556280222899,0.0454316975763055,0.0405844155844155,0.0201197275235417,64,5,1024,0.01,1000,0.0001,-1,20,318.4424224579998
64_5_1024_0_01_1000_0_01_-1_20,0.007955220391738,0.0448260891462971,0.0396753246753246,0.0197208508655716,64,5,1024,0.01,1000,0.01,-1,20,318.09791941599906
64_3_2048_0_01_1000_0_0001_-1_20,0.0079425653080658,0.0449654215915961,0.0399350649350649,0.0194746073895213,64,3,2048,0.01,1000,0.0001,-1,20,310.92688429100235
32_5_2048_0_01_1000_0_01_-1_20,0.007935013227636,0.0440577415746231,0.0385064935064935,0.0188506696923672,32,5,2048,0.01,1000,0.01,-1,20,214.59670020799967
64_7_2048_0_01_1000_0_001_-1_20,0.007902005916007857,0.04538830316605886,0.040519480519480525,0.019788124297382168,64,7,2048,0.01,1000,0.001,-1,20,322.64040570900397
64_5_2048_0_01_1000_0_01_-1_20,0.0078991602956484,0.0452489606982481,0.0403896103896103,0.0199364473649905,64,5,2048,0.01,1000,0.01,-1,20,318.70759370900123
32_5_2048_0_01_1000_0_0001_-1_20,0.0078880548563364,0.0441492700212139,0.0389610389610389,0.0192263497169077,32,5,2048,0.01,1000,0.0001,-1,20,214.3859726249993
32_5_1024_0_01_1000_0_0001_-1_20,0.007837970026996,0.0443427157937671,0.0390909090909091,0.0191272513402948,32,5,1024,0.01,1000,0.0001,-1,20,214.8427719579995
64_3_2048_0_01_1000_0_01_-1_20,0.0078338326870802,0.0446364976717068,0.0399350649350649,0.0196652961111465,64,3,2048,0.01,1000,0.01,-1,20,
32_5_1024_0_01_1000_0_01_-1_20,0.0077946757553231,0.0438514146549077,0.0387012987012987,0.0190558059582133,32,5,1024,0.01,1000,0.01,-1,20,212.38998874999925
32_3_1024_0_01_1000_0_01_-1_20,0.0077925316487387,0.0439051360107458,0.0386363636363636,0.0191808336580759,32,3,1024,0.01,1000,0.01,-1,20,211.8976594170008
64_3_1024_0_001_1000_0_001_-1_20,0.0077859010530453,0.0435918445183427,0.0378571428571428,0.018226262585393,64,3,1024,0.001,1000,0.001,-1,20,314.58264037499976
32_3_1024_0_01_1000_0_0001_-1_20,0.0077692988521368,0.0439637590131579,0.0392857142857142,0.0195050818916115,32,3,1024,0.01,1000,0.0001,-1,20,209.632393416
64_5_2048_0_001_1000_0_01_-1_20,0.0077431795717789,0.0435947724500144,0.0381818181818181,0.0186054740228387,64,5,2048,0.001,1000,0.01,-1,20,318.594229792001
32_5_2048_0_01_1000_0_001_-1_20,0.0077029425887796,0.0434234104760718,0.0381168831168831,0.0186034970785905,32,5,2048,0.01,1000,0.001,-1,20,213.35257541699863
64_5_2048_0_001_1000_0_001_-1_20,0.0076848333398147,0.0425758676591628,0.0369480519480519,0.0183214316798731,64,5,2048,0.001,1000,0.001,-1,20,319.3292240829978
32_3_2048_0_01_1000_0_01_-1_20,0.0076742515914154,0.043599456678657,0.0385714285714285,0.0188288604908264,32,3,2048,0.01,1000,0.01,-1,20,
64_3_2048_0_001_1000_0_01_-1_20,0.0076694063647828,0.0426359247920244,0.0372077922077922,0.0181519284312949,64,3,2048,0.001,1000,0.01,-1,20,310.2845039999993
32_5_1024_0_01_1000_0_001_-1_20,0.0076284695666644,0.0433274773985125,0.0383116883116883,0.0190179088047793,32,5,1024,0.01,1000,0.001,-1,20,216.95805120899968
64_3_1024_0_001_1000_0_01_-1_20,0.0076248187803173,0.0422013038206952,0.0371428571428571,0.0182880844004091,64,3,1024,0.001,1000,0.01,-1,20,316.5624504589996
32_3_2048_0_01_1000_0_001_-1_20,0.0076145807461338,0.0435893652072644,0.0388961038961039,0.0189470028436811,32,3,2048,0.01,1000,0.001,-1,20,217.60719916699964
64_5_1024_0_01_1000_0_001_-1_20,0.0076137527120233,0.0439233469867038,0.0395454545454545,0.0195861448646162,64,5,1024,0.01,1000,0.001,-1,20,318.2640637910008
64_3_1024_0_001_1000_0_0001_-1_20,0.0075799686054863,0.0428744228439586,0.0379220779220779,0.0183619048986059,64,3,1024,0.001,1000,0.0001,-1,20,318.5472843339994
32_5_2048_0_001_1000_0_01_-1_20,0.0075786017253295,0.0419339384956243,0.0366233766233766,0.0178954007383405,32,5,2048,0.001,1000,0.01,-1,20,218.27899745799917
32_3_1024_0_01_1000_0_001_-1_20,0.0075692603706077,0.0430679359826704,0.0381168831168831,0.0185772603291182,32,3,1024,0.01,1000,0.001,-1,20,212.272374917
64_3_2048_0_001_1000_0_001_-1_20,0.0075584044269832,0.0424586810068703,0.037987012987013,0.0186572708970866,64,3,2048,0.001,1000,0.001,-1,20,311.3634297089993
64_5_2048_0_001_1000_0_0001_-1_20,0.0075451148369612,0.0421020645666688,0.0365584415584415,0.0180543112900712,64,5,2048,0.001,1000,0.0001,-1,20,318.4563936249979
64_5_1024_0_001_1000_0_01_-1_20,0.0075219777369459,0.0425352257156864,0.0371428571428571,0.0178542833862882,64,5,1024,0.001,1000,0.01,-1,20,318.1659232079983
64_5_1024_0_001_1000_0_001_-1_20,0.0074389550077807,0.0417450780531587,0.037077922077922,0.0182756204840293,64,5,1024,0.001,1000,0.001,-1,20,318.5685720830006
64_5_1024_0_001_1000_0_0001_-1_20,0.0073692888891007,0.0417659247200952,0.0369480519480519,0.0180108220566066,64,5,1024,0.001,1000,0.0001,-1,20,319.1230363750001
32_3_2048_0_01_1000_0_0001_-1_20,0.0073662776163972,0.0422745363220566,0.0374025974025974,0.0187156447126121,32,3,2048,0.01,1000,0.0001,-1,20,215.961388791
64_3_2048_0_001_1000_0_0001_-1_20,0.007193462869743,0.0412656063765051,0.037077922077922,0.0182595836541285,64,3,2048,0.001,1000,0.0001,-1,20,320.133943249999
32_5_1024_0_001_1000_0_001_-1_20,0.0070729684639534,0.0403152784601279,0.0359090909090909,0.0175218011439467,32,5,1024,0.001,1000,0.001,-1,20,215.16639720899911
32_3_2048_0_001_1000_0_0001_-1_20,0.0070309034862619,0.0397078838600572,0.0348701298701298,0.0169894960880974,32,3,2048,0.001,1000,0.0001,-1,20,210.49878954199997
32_3_2048_0_001_1000_0_001_-1_20,0.007025805749665,0.0390198417375114,0.0344155844155844,0.0169029092057972,32,3,2048,0.001,1000,0.001,-1,20,211.290092833
64_5_1024_0_0001_1000_0_01_-1_20,0.0069838362255698,0.0379736622481639,0.0326623376623376,0.0159356662336327,64,5,1024,0.0001,1000,0.01,-1,20,319.0806944579999
32_5_1024_0_001_1000_0_0001_-1_20,0.0069429018856493,0.0394845458670445,0.035,0.0169588340992541,32,5,1024,0.001,1000,0.0001,-1,20,219.47665224999943
32_5_2048_0_001_1000_0_0001_-1_20,0.0069295970340916,0.03980519517372,0.0353246753246753,0.0172867280400189,32,5,2048,0.001,1000,0.0001,-1,20,216.228019917
32_5_1024_0_0001_1000_0_01_-1_20,0.0069076595719166,0.0382161494726168,0.0328571428571428,0.0161193398883038,32,5,1024,0.0001,1000,0.01,-1,20,219.72522445899995
32_3_1024_0_001_1000_0_0001_-1_20,0.0068797321999667,0.0390891312181835,0.0346753246753246,0.0171185696434078,32,3,1024,0.001,1000,0.0001,-1,20,213.6505507920001
32_5_2048_0_001_1000_0_001_-1_20,0.0068624618392452,0.0392353781977237,0.0353246753246753,0.0171571348488589,32,5,2048,0.001,1000,0.001,-1,20,212.96818512500067
32_3_1024_0_001_1000_0_01_-1_20,0.0068242776092261,0.0389838769566479,0.0344805194805194,0.0167709757815026,32,3,1024,0.001,1000,0.01,-1,20,211.7051827919995
64_3_2048_0_0001_1000_0_0001_-1_20,0.006745643804679,0.0364443715069623,0.0309740259740259,0.0154688859792627,64,3,2048,0.0001,1000,0.0001,-1,20,317.7009642920002
32_5_1024_0_001_1000_0_01_-1_20,0.0067242095905534,0.0381762862176764,0.0335714285714285,0.0164148614683271,32,5,1024,0.001,1000,0.01,-1,20,214.05671066600007
32_3_2048_0_001_1000_0_01_-1_20,0.0066099380029875,0.0380725767693429,0.0338961038961038,0.0165778737611907,32,3,2048,0.001,1000,0.01,-1,20,212.32498670800032
64_5_2048_0_0001_1000_0_0001_-1_20,0.0065699333736993,0.0361083657301542,0.0308441558441558,0.0149471869823338,64,5,2048,0.0001,1000,0.0001,-1,20,318.8139982499997
32_3_2048_0_0001_1000_0_01_-1_20,0.0065580215672674,0.037790102481216,0.0338961038961038,0.0162783917330158,32,3,2048,0.0001,1000,0.01,-1,20,210.49470712499988
64_5_2048_0_0001_1000_0_001_-1_20,0.0065460307968817,0.036513973334001,0.0318181818181818,0.0157858711188026,64,5,2048,0.0001,1000,0.001,-1,20,319.2627129589964
32_5_2048_0_0001_1000_0_01_-1_20,0.006542826768925,0.036329374231673,0.032077922077922,0.015796482962981,32,5,2048,0.0001,1000,0.01,-1,20,214.84338670800025
64_3_1024_0_0001_1000_0_0001_-1_20,0.0065416231594872,0.0362452892510681,0.0319480519480519,0.0153426752903202,64,3,1024,0.0001,1000,0.0001,-1,20,319.5504308340005
64_3_2048_0_0001_1000_0_001_-1_20,0.0065376167494664,0.036707609656568,0.0324675324675324,0.0158737502380719,64,3,2048,0.0001,1000,0.001,-1,20,317.390671707999
32_3_2048_0_0001_1000_0_001_-1_20,0.0065184177402648,0.0373722599407939,0.0334415584415584,0.016335225225496,32,3,2048,0.0001,1000,0.001,-1,20,210.4822935000002
32_3_1024_0_0001_1000_0_01_-1_20,0.0065149726947924,0.0378801472526538,0.0341558441558441,0.016576431916656,32,3,1024,0.0001,1000,0.01,-1,20,212.178110375
64_3_2048_0_0001_1000_0_01_-1_20,0.0064847326174262,0.0358851797898655,0.031038961038961,0.0150039910937339,64,3,2048,0.0001,1000,0.01,-1,20,319.1413941659994
32_3_1024_0_001_1000_0_001_-1_20,0.0064603214406973,0.0373437599111386,0.0325974025974026,0.015999684508222,32,3,1024,0.001,1000,0.001,-1,20,210.0698570000004
32_5_1024_0_0001_1000_0_001_-1_20,0.0064175081578988,0.0361095180511621,0.0319480519480519,0.0155689861766602,32,5,1024,0.0001,1000,0.001,-1,20,218.96613550000075
64_3_1024_0_0001_1000_0_01_-1_20,0.0064013537111991,0.0352055986736139,0.0305194805194805,0.0150166895450099,64,3,1024,0.0001,1000,0.01,-1,20,317.52848749999976
64_3_1024_0_0001_1000_0_001_-1_20,0.0063008125715694,0.0357597534684992,0.0316883116883116,0.0152581404522892,64,3,1024,0.0001,1000,0.001,-1,20,322.96999516699907
32_5_1024_0_0001_1000_0_0001_-1_20,0.0062874871156981,0.0360036870852218,0.0318181818181818,0.015463485552393,32,5,1024,0.0001,1000,0.0001,-1,20,218.34776662499823
64_5_1024_0_0001_1000_0_0001_-1_20,0.0062565608532435,0.0361828836496908,0.0329870129870129,0.0159469371965522,64,5,1024,0.0001,1000,0.0001,-1,20,318.5265190410028
64_5_2048_0_0001_1000_0_01_-1_20,0.006219544200204,0.0347699989988983,0.0301298701298701,0.0145070477615739,64,5,2048,0.0001,1000,0.01,-1,20,320.03005679200214
32_5_2048_0_0001_1000_0_001_-1_20,0.0062006283475084,0.0358381445978531,0.0322077922077922,0.0154845603857735,32,5,2048,0.0001,1000,0.001,-1,20,216.1437093749992
32_5_2048_0_0001_1000_0_0001_-1_20,0.0061605756157899,0.0354097739557467,0.031038961038961,0.0148804701694436,32,5,2048,0.0001,1000,0.0001,-1,20,212.3950707089989
32_3_1024_0_0001_1000_0_001_-1_20,0.0061503727228545,0.0362375334212752,0.0322727272727272,0.0154173045951527,32,3,1024,0.0001,1000,0.001,-1,20,211.473352
64_5_1024_0_0001_1000_0_001_-1_20,0.0061358842990752,0.0352672895190145,0.032012987012987,0.0154580463305335,64,5,1024,0.0001,1000,0.001,-1,20,317.99739933300225
32_3_1024_0_0001_1000_0_0001_-1_20,0.0061006424060126,0.0349312434703041,0.0312337662337662,0.0151412923925207,32,3,1024,0.0001,1000,0.0001,-1,20,211.865766209
32_3_2048_0_0001_1000_0_0001_-1_20,0.006004763244744,0.0340405967307773,0.0297402597402597,0.0142033013728941,32,3,2048,0.0001,1000,0.0001,-1,20,210.66617199999928
